Alpha,objective_nitrogen_kharif,objective_water_kharif,nitrogen_mt_kharif,water_bcm_kharif,solve_status_kharif,solve_status_code_kharif,is_valid_kharif,variable_count_kharif,constraint_count_kharif,income_mode_kharif,objective_mode_kharif,objective_nitrogen_rabi,objective_water_rabi,nitrogen_mt_rabi,water_bcm_rabi,solve_status_rabi,solve_status_code_rabi,is_valid_rabi,variable_count_rabi,constraint_count_rabi,income_mode_rabi,objective_mode_rabi,objective_nitrogen,objective_water,nitrogen_mt,water_bcm,is_valid,solve_status,nitrogen_pct_of_2017_baseline,water_pct_of_2017_baseline
0.48,4205910719.772013,217597435412.76642,4.205910719772013,217.59743541276643,Optimal,1,True,2459,776,profit,normalized,2793072307.2099543,93405667837.14937,2.7930723072099544,93.40566783714937,Optimal,1,True,1788,741,profit,normalized,6998983026.981968,311003103249.9158,6.998983026981968,311.0031032499158,True,Optimal|Optimal,84.47434577162285,66.51247914280765
0.49,4205910719.772013,217597435412.76642,4.205910719772013,217.59743541276643,Optimal,1,True,2459,776,profit,normalized,2793072307.2099543,93405667837.14937,2.7930723072099544,93.40566783714937,Optimal,1,True,1788,741,profit,normalized,6998983026.981968,311003103249.9158,6.998983026981968,311.0031032499158,True,Optimal|Optimal,84.47434577162285,66.51247914280765
0.5,4205903287.9159207,217597941821.78925,4.205903287915921,217.59794182178925,Optimal,1,True,2459,776,profit,normalized,2793072307.2099543,93405667837.14937,2.7930723072099544,93.40566783714937,Optimal,1,True,1788,741,profit,normalized,6998975595.125875,311003609658.9386,6.998975595125875,311.0036096589386,True,Optimal|Optimal,84.47425607270819,66.5125874456484
0.51,4205903287.9159207,217597941821.78925,4.205903287915921,217.59794182178925,Optimal,1,True,2459,776,profit,normalized,2791267207.621431,93470723197.98114,2.7912672076214307,93.47072319798114,Optimal,1,True,1788,741,profit,normalized,6997170495.537352,311068665019.7704,6.997170495537351,311.0686650197704,True,Optimal|Optimal,84.45246939224255,66.5265004686544
0.52,4205903287.9159207,217597941821.78925,4.205903287915921,217.59794182178925,Optimal,1,True,2459,776,profit,normalized,2788895947.868898,93560802881.15875,2.7888959478688977,93.56080288115875,Optimal,1,True,1788,741,profit,normalized,6994799235.784819,311158744702.948,6.994799235784819,311.158744702948,True,Optimal|Optimal,84.4238494319601,66.54576530230376
0.53,4200096199.344856,218035797275.3072,4.200096199344856,218.0357972753072,Optimal,1,True,2459,776,profit,normalized,2761892474.731782,94627128367.03966,2.761892474731782,94.62712836703966,Optimal,1,True,1788,741,profit,normalized,6961988674.076637,312662925642.34686,6.961988674076637,312.66292564234686,True,Optimal|Optimal,84.02784179427717,66.86745599385412
0.54,4193326174.35164,218563302808.73865,4.193326174351641,218.56330280873865,Optimal,1,True,2459,776,profit,normalized,2761892474.731782,94627128367.03966,2.761892474731782,94.62712836703966,Optimal,1,True,1788,741,profit,normalized,6955218649.083422,313190431175.7783,6.955218649083422,313.1904311757783,True,Optimal|Optimal,83.94613086142382,66.98027062632383
0.55,4191738682.1243854,218691352175.89917,4.191738682124385,218.69135217589917,Optimal,1,True,2459,776,profit,normalized,2761361891.498546,94649617451.28546,2.761361891498546,94.64961745128547,Optimal,1,True,1788,741,profit,normalized,6953100573.6229315,313340969627.18463,6.953100573622931,313.3409696271846,True,Optimal|Optimal,83.92056671329972,67.01246543565121
0.56,4191436745.2311845,218716910097.4336,4.191436745231185,218.71691009743358,Optimal,1,True,2459,776,profit,normalized,2761361891.498546,94649617451.28546,2.761361891498546,94.64961745128547,Optimal,1,True,1788,741,profit,normalized,6952798636.729731,313366527548.71906,6.952798636729731,313.36652754871903,True,Optimal|Optimal,83.91692248078492,67.01793136414268
0.57,4191258773.578548,218732869614.31702,4.191258773578548,218.73286961431702,Optimal,1,True,2459,776,profit,normalized,2760013790.008814,94711899824.31865,2.7600137900088137,94.71189982431865,Optimal,1,True,1788,741,profit,normalized,6951272563.587362,313444769438.6357,6.951272563587362,313.44476943863566,True,Optimal|Optimal,83.89850351480025,67.03466451573117
