season,State,District,Crop,Original Area (Hectare),Optimized Area (Hectare)
kharif,chhattisgarh,gariaband,rice,145003.0,145003.0
kharif,chhattisgarh,gariyaband,bajra,0.0,0.0
kharif,chhattisgarh,gariyaband,jowar,0.0,0.0
kharif,chhattisgarh,gariyaband,maize,3753.0,0.0
kharif,chhattisgarh,gariyaband,ragi,12.0,0.0
kharif,chhattisgarh,gariyaband,rice,0.0,3765.0
kharif,chhattisgarh,janjgir-champa,maize,280.0,280.0
kharif,chhattisgarh,janjgirchampa,rice,254651.0,254651.0
kharif,chhattisgarh,jashpur,bajra,23.0,0.0
kharif,chhattisgarh,jashpur,jowar,0.0,0.0
kharif,chhattisgarh,jashpur,maize,5435.0,0.0
kharif,chhattisgarh,jashpur,ragi,243.0,0.0
kharif,chhattisgarh,jashpur,rice,183914.0,189615.0
kharif,chhattisgarh,kabirdham,bajra,0.0,0.0
kharif,chhattisgarh,kabirdham,jowar,0.0,0.0
kharif,chhattisgarh,kabirdham,maize,2215.0,0.0
kharif,chhattisgarh,kabirdham,rice,106660.0,108875.0
kharif,chhattisgarh,kanker,jowar,0.0,0.0
kharif,chhattisgarh,kanker,maize,9892.0,0.0
kharif,chhattisgarh,kanker,ragi,1390.0,0.0
kharif,chhattisgarh,kanker,rice,0.0,11282.0
kharif,chhattisgarh,kondagaon,jowar,0.0,0.0
kharif,chhattisgarh,kondagaon,maize,15479.0,0.0
kharif,chhattisgarh,kondagaon,ragi,2402.0,0.0
kharif,chhattisgarh,kondagaon,rice,105481.0,123362.0
kharif,chhattisgarh,korba,bajra,0.0,0.0
kharif,chhattisgarh,korba,jowar,0.0,0.0
kharif,chhattisgarh,korba,maize,4082.0,0.0
kharif,chhattisgarh,korba,rice,108938.0,113020.0
kharif,chhattisgarh,korea,bajra,0.0,0.0
kharif,chhattisgarh,korea,jowar,0.0,0.0
kharif,chhattisgarh,korea,maize,7553.0,0.0
kharif,chhattisgarh,korea,ragi,5.0,0.0
kharif,chhattisgarh,korea,rice,67752.0,75310.0
kharif,chhattisgarh,mahasamund,bajra,0.0,0.0
kharif,chhattisgarh,mahasamund,jowar,0.0,0.0
kharif,chhattisgarh,mahasamund,maize,161.0,0.0
kharif,chhattisgarh,mahasamund,rice,281144.0,281305.0
kharif,chhattisgarh,mungeli,bajra,0.0,0.0
kharif,chhattisgarh,mungeli,jowar,0.0,0.0
kharif,chhattisgarh,mungeli,maize,88.0,0.0
kharif,chhattisgarh,mungeli,ragi,0.0,0.0
kharif,chhattisgarh,mungeli,rice,115838.0,115926.0
kharif,chhattisgarh,narayanpur,jowar,0.0,0.0
kharif,chhattisgarh,narayanpur,maize,1175.0,0.0
kharif,chhattisgarh,narayanpur,ragi,369.0,0.0
kharif,chhattisgarh,narayanpur,rice,24257.0,25801.0
kharif,chhattisgarh,raigarh,bajra,7.0,0.0
kharif,chhattisgarh,raigarh,jowar,0.0,0.0
kharif,chhattisgarh,raigarh,maize,856.0,0.0
kharif,chhattisgarh,raigarh,rice,227207.0,228070.0
kharif,chhattisgarh,raipur,bajra,0.0,0.0
kharif,chhattisgarh,raipur,jowar,0.0,0.0
kharif,chhattisgarh,raipur,maize,402.0,0.0
kharif,chhattisgarh,raipur,ragi,0.0,0.0
kharif,chhattisgarh,raipur,rice,162416.0,162818.0
kharif,chhattisgarh,rajnandgaon,bajra,0.0,0.0
kharif,chhattisgarh,rajnandgaon,jowar,0.0,0.0
kharif,chhattisgarh,rajnandgaon,maize,6893.0,0.0
kharif,chhattisgarh,rajnandgaon,ragi,0.0,0.0
kharif,chhattisgarh,rajnandgaon,rice,294317.0,301210.0
kharif,chhattisgarh,sukma,jowar,0.0,0.0
kharif,chhattisgarh,sukma,maize,2732.0,0.0
kharif,chhattisgarh,sukma,ragi,328.0,0.0
kharif,chhattisgarh,sukma,rice,84363.0,87423.0
kharif,chhattisgarh,surajpur,jowar,0.0,0.0
kharif,chhattisgarh,surajpur,maize,10229.0,0.0
kharif,chhattisgarh,surajpur,ragi,212.0,0.0
kharif,chhattisgarh,surajpur,rice,108911.0,119352.0
kharif,chhattisgarh,surguja,bajra,0.0,0.0
kharif,chhattisgarh,surguja,jowar,0.0,0.0
kharif,chhattisgarh,surguja,maize,9025.0,0.0
kharif,chhattisgarh,surguja,ragi,4.0,0.0
kharif,chhattisgarh,surguja,rice,116713.0,125742.0
kharif,chhattisgarh,uttar bastar kanker,rice,313411.0,313411.0
kharif,dadra and nagar haveli,dadra and nagar haveli,jowar,451.0,541.8412263212164
kharif,dadra and nagar haveli,dadra and nagar haveli,maize,108.0,0.0
kharif,dadra and nagar haveli,dadra and nagar haveli,ragi,1135.0,1129.744127853763
kharif,dadra and nagar haveli,dadra and nagar haveli,rice,13817.0,13839.414645825022
kharif,gujarat,ahmadabad,bajra,1243.0,119198.0
kharif,gujarat,ahmadabad,jowar,0.0,0.0
kharif,gujarat,ahmadabad,maize,0.0,0.0
kharif,gujarat,ahmadabad,rice,117955.0,0.0
kharif,gujarat,amreli,bajra,2727.0,2727.0
kharif,gujarat,amreli,jowar,0.0,0.0
kharif,gujarat,amreli,maize,0.0,0.0
kharif,gujarat,anand,bajra,13252.0,124173.0
