iteration,scenario,season,metric,metric_key,status,kharif_status,rabi_status,pct_reduction,display_pct_change
36,Water based,annual,Nitrogen Emission,N_emission,Optimal,Optimal,Optimal,10.95560849359078,-10.95560849359078
36,Nitrogen based,annual,Nitrogen Leach,N_leach,Optimal,Optimal,Optimal,21.277039652963612,-21.277039652963612
36,Water based,annual,Nitrogen Leach,N_leach,Optimal,Optimal,Optimal,9.596939266829162,-9.596939266829162
36,Nitrogen based,annual,Greenhouse Gas emission,AGHG,Optimal,Optimal,Optimal,29.919078438734434,-29.919078438734434
36,Water based,annual,Greenhouse Gas emission,AGHG,Optimal,Optimal,Optimal,39.812413237803305,-39.812413237803305
36,Nitrogen based,annual,Profit,profit,Optimal,Optimal,Optimal,-7.364717867768973,7.364717867768973
36,Water based,annual,Profit,profit,Optimal,Optimal,Optimal,-14.16603892011877,14.16603892011877
36,Nitrogen based,annual,Calorie,Calorie,Optimal,Optimal,Optimal,-2.6454105784093924,2.6454105784093924
36,Water based,annual,Calorie,Calorie,Optimal,Optimal,Optimal,-3.4965132739065625,3.4965132739065625
36,Nitrogen based,annual,Phosphorus application,P_applied,Optimal,Optimal,Optimal,14.739656169985064,-14.739656169985064
36,Water based,annual,Phosphorus application,P_applied,Optimal,Optimal,Optimal,7.766948189554902,-7.766948189554902
36,Nitrogen based,annual,Nitrogen application,N_applied,Optimal,Optimal,Optimal,13.84647658084136,-13.84647658084136
36,Water based,annual,Nitrogen application,N_applied,Optimal,Optimal,Optimal,4.061429180852691,-4.061429180852691
36,Nitrogen based,annual,Phosphorus Surplus,P_surplus,Optimal,Optimal,Optimal,20.279330463270608,-20.279330463270608
36,Water based,annual,Phosphorus Surplus,P_surplus,Optimal,Optimal,Optimal,11.879454856041304,-11.879454856041304
36,Nitrogen based,annual,Nitrogen Surplus,N_surplus,Optimal,Optimal,Optimal,22.114628250233515,-22.114628250233515
36,Water based,annual,Nitrogen Surplus,N_surplus,Optimal,Optimal,Optimal,7.421114857169501,-7.421114857169501
36,Nitrogen based,annual,Water Demand,water,Optimal,Optimal,Optimal,34.240608600427116,-34.240608600427116
36,Water based,annual,Water Demand,water,Optimal,Optimal,Optimal,46.93406745193437,-46.93406745193437
37,Nitrogen based,annual,Nitrogen Emission,N_emission,Optimal,Optimal,Optimal,23.44158903909267,-23.44158903909267
