source_state,target_state,original_trade_kcal,optimized_trade_kcal,diff_trade_kcal
daman and diu,goa,0.0,0.0,0.0
daman and diu,gujarat,0.0,0.0,0.0
daman and diu,haryana,0.0,0.0,0.0
daman and diu,himachal pradesh,0.0,0.0,0.0
daman and diu,jammu and kashmir,0.0,0.0,0.0
daman and diu,jharkhand,0.0,0.0,0.0
daman and diu,karnataka,0.0,0.0,0.0
daman and diu,kerala,0.0,0.0,0.0
daman and diu,lakshadeep,0.0,0.0,0.0
daman and diu,madhya pradesh,0.0,0.0,0.0
daman and diu,maharashtra,0.0,0.0,0.0
daman and diu,manipur,0.0,0.0,0.0
daman and diu,meghalaya,0.0,0.0,0.0
daman and diu,mizoram,0.0,0.0,0.0
daman and diu,nagaland,0.0,0.0,0.0
daman and diu,odisha,0.0,0.0,0.0
daman and diu,puducherry,0.0,0.0,0.0
daman and diu,punjab,0.0,0.0,0.0
daman and diu,rajasthan,0.0,0.0,0.0
daman and diu,sikkim,0.0,0.0,0.0
daman and diu,tamil nadu,0.0,0.0,0.0
daman and diu,telangana,0.0,0.0,0.0
daman and diu,tripura,0.0,0.0,0.0
daman and diu,uttar pradesh,0.0,0.0,0.0
daman and diu,uttarakhand,0.0,0.0,0.0
daman and diu,west bengal,0.0,0.0,0.0
delhi,andaman and nicobar,0.0,0.0,0.0
delhi,andhra pradesh,0.0,0.0,0.0
delhi,arunachal pradesh,0.0,0.0,0.0
delhi,assam,71016599666.66667,0.0,-71016599666.66667
delhi,bihar,0.0,0.0,0.0
delhi,chandigarh,19386808333.333332,0.0,-19386808333.333332
delhi,chhattisgarh,0.0,0.0,0.0
delhi,dadra and nagar haveli,0.0,0.0,0.0
delhi,daman and diu,0.0,0.0,0.0
delhi,goa,0.0,0.0,0.0
delhi,gujarat,11479220000.0,0.0,-11479220000.0
delhi,haryana,503554333.3333333,0.0,-503554333.3333333
delhi,himachal pradesh,2383716666.6666665,0.0,-2383716666.6666665
delhi,jammu and kashmir,0.0,0.0,0.0
delhi,jharkhand,0.0,0.0,0.0
delhi,karnataka,0.0,0.0,0.0
delhi,kerala,0.0,0.0,0.0
delhi,lakshadeep,0.0,0.0,0.0
delhi,madhya pradesh,1130160966.6666667,0.0,-1130160966.6666667
delhi,maharashtra,0.0,0.0,0.0
delhi,manipur,0.0,0.0,0.0
delhi,meghalaya,0.0,0.0,0.0
delhi,mizoram,0.0,0.0,0.0
delhi,nagaland,6399066666.666667,0.0,-6399066666.666667
delhi,odisha,1428875000.0,0.0,-1428875000.0
delhi,puducherry,0.0,0.0,0.0
delhi,punjab,251938166.66666666,0.0,-251938166.66666666
delhi,rajasthan,142466216.66666666,0.0,-142466216.66666666
delhi,sikkim,0.0,0.0,0.0
delhi,tamil nadu,0.0,0.0,0.0
delhi,telangana,0.0,0.0,0.0
delhi,tripura,3325633333.333333,0.0,-3325633333.333333
delhi,uttar pradesh,2093000000.0,0.0,-2093000000.0
delhi,uttarakhand,0.0,0.0,0.0
delhi,west bengal,10646016666.666666,0.0,-10646016666.666666
goa,andaman and nicobar,0.0,0.0,0.0
goa,andhra pradesh,0.0,0.0,0.0
goa,arunachal pradesh,0.0,0.0,0.0
goa,assam,0.0,0.0,0.0
goa,bihar,0.0,0.0,0.0
goa,chandigarh,0.0,0.0,0.0
goa,chhattisgarh,0.0,0.0,0.0
goa,dadra and nagar haveli,0.0,0.0,0.0
goa,daman and diu,0.0,0.0,0.0
goa,delhi,0.0,0.0,0.0
goa,gujarat,0.0,0.0,0.0
goa,haryana,159497333.3333333,0.0,-159497333.3333333
goa,himachal pradesh,0.0,0.0,0.0
goa,jammu and kashmir,0.0,0.0,0.0
goa,jharkhand,0.0,0.0,0.0
goa,karnataka,0.0,0.0,0.0
goa,kerala,1500160000.0,0.0,-1500160000.0
goa,lakshadeep,0.0,0.0,0.0
goa,madhya pradesh,0.0,0.0,0.0
goa,maharashtra,2931976666.6666665,0.0,-2931976666.6666665
goa,manipur,0.0,0.0,0.0
goa,meghalaya,0.0,0.0,0.0
goa,mizoram,0.0,0.0,0.0
goa,nagaland,0.0,0.0,0.0
goa,odisha,0.0,0.0,0.0
goa,puducherry,0.0,0.0,0.0
goa,punjab,2223018166.6666665,0.0,-2223018166.6666665
goa,rajasthan,0.0,0.0,0.0
goa,sikkim,0.0,0.0,0.0
goa,tamil nadu,0.0,0.0,0.0
goa,telangana,0.0,0.0,0.0
goa,tripura,0.0,0.0,0.0
goa,uttar pradesh,0.0,0.0,0.0
goa,uttarakhand,0.0,0.0,0.0
goa,west bengal,0.0,0.0,0.0
gujarat,andaman and nicobar,0.0,0.0,0.0
gujarat,andhra pradesh,3744296500.0,2496089686.575492,-1248206813.424508
gujarat,arunachal pradesh,0.0,0.0,0.0
gujarat,assam,706977833.3333334,471298167.33819574,-235679665.99513763
gujarat,bihar,17533000.0,18232403.463635113,699403.4636351131
gujarat,chandigarh,0.0,0.0,0.0
gujarat,chhattisgarh,0.0,0.0,0.0
gujarat,dadra and nagar haveli,0.0,0.0,0.0
gujarat,daman and diu,0.0,0.0,0.0
gujarat,delhi,0.0,0.0,0.0
gujarat,goa,0.0,0.0,0.0
gujarat,haryana,14195890666.666666,10136821716.334192,-4059068950.3324747
gujarat,himachal pradesh,0.0,0.0,0.0
gujarat,jammu and kashmir,2344052666.666667,1562634178.6918974,-781418487.9747696
gujarat,jharkhand,0.0,0.0,0.0
gujarat,karnataka,8400255500.0,5599928082.12412,-2800327417.8758802
gujarat,kerala,1366353333.3333333,910862818.5698911,-455490514.76344216
gujarat,lakshadeep,0.0,0.0,0.0
