id,district,dt_code,st_nm,st_code,year,state_key,district_key,map_state,map_district,nitrogen_surplus_kg,calorie_kcal,water_m3,nitrogen_surplus_ggn,calorie_bkcal,water_bcm
,Salem,608,Tamil Nadu,33,2011_c,tamil nadu,salem,tamil nadu,salem,7420398.401669923,1721274589978.0579,411617825.67194915,7.420398401669924,1721.274589978058,0.41161782567194916
,Erode,610,Tamil Nadu,33,2011_c,tamil nadu,erode,tamil nadu,erode,1250340.532979128,663125720000.8799,104038765.82670452,1.250340532979128,663.1257200008799,0.10403876582670452
,The Nilgiris,611,Tamil Nadu,33,2011_c,tamil nadu,nilgiris,tamil nadu,nilgiris,25876.397153881495,3278759999.6974,2005459.824549,0.025876397153881493,3.2787599996974,0.002005459824549
,Namakkal,609,Tamil Nadu,33,2011_c,tamil nadu,namakkal,tamil nadu,namakkal,13426164.335943447,504293250074.08777,865487794.139955,13.426164335943447,504.2932500740878,0.865487794139955
,Perambalur,615,Tamil Nadu,33,2011_c,tamil nadu,perambalur,tamil nadu,perambalur,1241457.0133989817,1682139949658.4487,94250072.9759496,1.2414570133989817,1682.1399496584488,0.0942500729759496
,Coimbatore,632,Tamil Nadu,33,2011_c,tamil nadu,coimbatore,tamil nadu,coimbatore,2424707.4655716326,172584810006.27216,232528463.21086645,2.4247074655716325,172.58481000627216,0.23252846321086645
,Tiruchirappalli,614,Tamil Nadu,33,2011_c,tamil nadu,tiruchirappalli,tamil nadu,tiruchirappalli,9357451.071161939,1500436540183.0232,386557360.4993065,9.35745107116194,1500.4365401830232,0.3865573604993065
,Ariyalur,616,Tamil Nadu,33,2011_c,tamil nadu,ariyalur,tamil nadu,ariyalur,3012299.6548332446,804069339980.247,187544105.01514512,3.0122996548332446,804.0693399802469,0.18754410501514512
,Tiruppur,633,Tamil Nadu,33,2011_c,tamil nadu,tiruppur,tamil nadu,tiruppur,5557962.407452465,896902880015.2241,1268353139.9075184,5.557962407452465,896.9028800152241,1.2683531399075183
,Thanjavur,620,Tamil Nadu,33,2011_c,tamil nadu,thanjavur,tamil nadu,thanjavur,18152964.904743686,2405700029860.737,1402867808.8479338,18.152964904743687,2405.700029860737,1.4028678088479338
,Karur,613,Tamil Nadu,33,2011_c,tamil nadu,karur,tamil nadu,karur,2744096.949482689,219049460014.00992,559183918.143127,2.7440969494826892,219.04946001400992,0.559183918143127
,Thiruvarur,619,Tamil Nadu,33,2011_c,tamil nadu,thiruvarur,tamil nadu,thiruvarur,18351243.032599594,2491718760256.4766,1506124454.1194263,18.351243032599594,2491.7187602564763,1.5061244541194263
,Dindigul,612,Tamil Nadu,33,2011_c,tamil nadu,dindigul,tamil nadu,dindigul,5564322.435871852,1241890950009.6047,308120300.3076592,5.564322435871851,1241.8909500096047,0.3081203003076592
,Madurai,623,Tamil Nadu,33,2011_c,tamil nadu,madurai,tamil nadu,madurai,3725684.8318697237,625967560009.7078,200947720.79490638,3.7256848318697235,625.9675600097078,0.2009477207949064
,Theni,624,Tamil Nadu,33,2011_c,tamil nadu,theni,tamil nadu,theni,1362004.0963112044,490720869996.1267,68903966.02861114,1.3620040963112043,490.72086999612674,0.06890396602861114
,Virudhunagar,625,Tamil Nadu,33,2011_c,tamil nadu,virudhunagar,tamil nadu,virudhunagar,4268564.868457282,862581599989.7424,231292394.7985304,4.268564868457282,862.5815999897425,0.2312923947985304
,Thoothukkudi,627,Tamil Nadu,33,2011_c,tamil nadu,thoothukkudi,tamil nadu,thoothukkudi,6811421.54825225,644434299995.728,272320412.315718,6.81142154825225,644.434299995728,0.272320412315718
,Kanniyakumari,629,Tamil Nadu,33,2011_c,tamil nadu,kanniyakumari,tamil nadu,kanniyakumari,1095266.1076063833,117727500013.82704,90749616.15987374,1.0952661076063832,117.72750001382704,0.09074961615987374
,Viluppuram,607,Tamil Nadu,33,2019,tamil nadu,viluppuram,tamil nadu,viluppuram,26602772.237214778,3303768889940.0073,1315840427.4484453,26.60277223721478,3303.7688899400073,1.3158404274484454
,Cuddalore,617,Tamil Nadu,33,2011_c,tamil nadu,cuddalore,tamil nadu,cuddalore,18906332.619338114,2503711440217.2334,1016720809.070163,18.906332619338112,2503.7114402172333,1.016720809070163
,Pudukkottai,621,Tamil Nadu,33,2011_c,tamil nadu,pudukkottai,tamil nadu,pudukkottai,9692811.326117923,704699330138.0898,1404209182.138541,9.692811326117923,704.6993301380899,1.404209182138541
,Sivaganga,622,Tamil Nadu,33,2011_c,tamil nadu,sivaganga,tamil nadu,sivaganga,9098020.128709218,232411860051.18494,2625714568.3865843,9.098020128709218,232.41186005118493,2.6257145683865843
,Ramanathapuram,626,Tamil Nadu,33,2011_c,tamil nadu,ramanathapuram,tamil nadu,ramanathapuram,10688167.880990861,158324050121.58115,14475478209.609495,10.68816788099086,158.32405012158114,14.475478209609495
,Nagapattinam,618,Tamil Nadu,33,2011_c,tamil nadu,nagapattinam,tamil nadu,nagapattinam,12119491.629103731,1593232100246.9785,1941729995.175049,12.119491629103731,1593.2321002469785,1.941729995175049
,Kallakurichi,729,Tamil Nadu,33,2019,tamil nadu,kallakurichi,,,,,,,,
,Tenkasi,0,Tamil Nadu,33,2019,tamil nadu,tenkasi,,,,,,,,
,Tirunelveli,628,Tamil Nadu,33,2019,tamil nadu,tirunelveli,tamil nadu,tirunelveli,4852189.7703168,1292154560010.7905,440086912.48156774,4.8521897703168,1292.1545600107904,0.4400869124815677
,Vellore,605,Tamil Nadu,33,2019,tamil nadu,vellore,tamil nadu,vellore,4808359.234244535,1119130880039.1194,402656190.78372866,4.808359234244535,1119.1308800391193,0.40265619078372866
,Ranipet,0,Tamil Nadu,33,2019,tamil nadu,ranipet,,,,,,,,
,Tirupathur,0,Tamil Nadu,33,2019,tamil nadu,tirupathur,,,,,,,,
,Kancheepuram,604,Tamil Nadu,33,2019,tamil nadu,kancheepuram,tamil nadu,kancheepuram,10091814.66226307,1407259439980.1113,662130844.3770827,10.091814662263069,1407.2594399801114,0.6621308443770827
,Chengalpattu,0,Tamil Nadu,33,2019,tamil nadu,chengalpattu,,,,,,,,
,Burhanpur,467,Madhya Pradesh,23,2011_c,madhya pradesh,burhanpur,madhya pradesh,burhanpur,2630467.0382492496,548598600001.70996,75280496.83584878,2.6304670382492494,548.59860000171,0.07528049683584878
,Gondiya,507,Maharashtra,27,2011_c,maharashtra,gondiya,maharashtra,gondiya,20374077.37249518,825192600236.7399,1223709405.82749,20.374077372495183,825.1926002367398,1.22370940582749
,Bhandara,506,Maharashtra,27,2011_c,maharashtra,bhandara,maharashtra,bhandara,26164673.637485333,823353999967.2479,1915716678.5325909,26.164673637485333,823.3539999672479,1.9157166785325908
,Jalgaon,499,Maharashtra,27,2011_c,maharashtra,jalgaon,maharashtra,jalgaon,26825776.636806056,3414415999794.6895,776681733.6852355,26.825776636806054,3414.4159997946895,0.7766817336852355
,Mahasamund,411,Chhattisgarh,22,2011_c,chhattisgarh,mahasamund,chhattisgarh,mahasamund,29925997.036168493,1458450720040.706,1453471541.1811182,29.925997036168493,1458.450720040706,1.4534715411811183
,Wardha,504,Maharashtra,27,2011_c,maharashtra,wardha,maharashtra,wardha,2782046.307718314,83885999996.66,108488973.96276557,2.782046307718314,83.88599999666,0.10848897396276558
,Buldana,500,Maharashtra,27,2011_c,maharashtra,buldana,maharashtra,buldana,9945065.82447406,580980000066.3755,432235349.72520113,9.94506582447406,580.9800000663755,0.4322353497252011
,Valsad,491,Gujarat,24,2011_c,gujarat,valsad,gujarat,valsad,11507685.761397414,664841360030.6145,382672925.0469263,11.507685761397413,664.8413600306145,0.3826729250469263
,Akola,501,Maharashtra,27,2011_c,maharashtra,akola,maharashtra,akola,2301589.00674041,115547280014.32324,122873188.4446738,2.30158900674041,115.54728001432325,0.1228731884446738
