scenario,state,metric,baseline_total,optimized_total,pct_reduction,display_pct_change
Water based,odisha,Profit,11110986383.457003,11141175602.208828,-0.2717060187993179,0.2717060187993179
Water based,puducherry,Profit,-48730148.90881823,-46958956.29326652,3.6346956765223313,-3.6346956765223313
Water based,punjab,Profit,165592888616.4004,165592888551.65997,3.909613391094431e-08,-3.909613391094431e-08
Water based,rajasthan,Profit,38922814519.53662,38922814516.61555,7.504785945291899e-09,-7.504785945291899e-09
Water based,sikkim,Profit,33665851.88924715,37981889.76792094,-12.820224757337364,12.820224757337364
Water based,tamil nadu,Profit,-17585570056.10183,-17585570073.6874,-1.0000000701120673e-07,1.0000000701120673e-07
Water based,telangana,Profit,-2038081446.4877455,-2038081449.258507,-1.3594949773195063e-07,1.3594949773195063e-07
Water based,tripura,Profit,-351756558.5409017,-333034658.7770144,5.322402471057378,-5.322402471057378
Water based,uttar pradesh,Profit,99564765650.52408,100553629456.48358,-0.993186494738963,0.993186494738963
Water based,uttarakhand,Profit,-1028167389.0802364,-860666758.1782413,16.291183000059508,-16.291183000059508
Water based,west bengal,Profit,-8353006817.890621,2672086679.099353,131.98951871290504,-131.98951871290504
Water based,andaman and nicobar,Calorie,40107822001.69207,40107822001.69207,0.0,-0.0
Water based,andhra pradesh,Calorie,39560188726117.42,39560188686557.234,9.999999690062797e-08,-9.999999690062797e-08
Water based,arunachal pradesh,Calorie,1119674365554.6077,1119674364459.8623,9.777354872153971e-08,-9.777354872153971e-08
Water based,assam,Calorie,19326457187423.336,24214859932229.66,-25.293837858639943,25.293837858639943
Water based,bihar,Calorie,61436213359048.484,75475682003348.34,-22.852106073415886,22.852106073415886
Water based,chandigarh,Calorie,8458320000.0,8458319999.8042,2.314878457846045e-09,-2.314878457846045e-09
Water based,chhattisgarh,Calorie,21874233571251.08,21874233549838.22,9.789078691718161e-08,-9.789078691718161e-08
Water based,dadra and nagar haveli,Calorie,110351159987.49779,111084939822.80511,-0.6649498160150384,0.6649498160150384
Water based,gujarat,Calorie,22968123599610.598,24233003626216.14,-5.507110849172667,5.507110849172667
Water based,haryana,Calorie,61421461999693.88,61421461979400.836,3.303901635408994e-08,-3.303901635408994e-08
Water based,himachal pradesh,Calorie,4790553240009.545,4790553237162.541,5.942954317828075e-08,-5.942954317828075e-08
Water based,jammu and kashmir,Calorie,6333898743611.915,6341825296592.183,-0.1251449273366099,0.1251449273366099
Water based,jharkhand,Calorie,15797822170053.514,16909708843288.352,-7.038227556090229,7.038227556090229
Water based,karnataka,Calorie,40778582359454.82,41583305171389.336,-1.9733957518215064,1.9733957518215064
Water based,kerala,Calorie,1855863600089.5908,1855863598780.0554,7.056204994415581e-08,-7.056204994415581e-08
Water based,madhya pradesh,Calorie,103172792881583.44,103305058347851.86,-0.12819800896562872,0.12819800896562872
Water based,maharashtra,Calorie,37131563960399.91,54863478176107.38,-47.75428860098169,47.75428860098169
Water based,manipur,Calorie,2397703400035.5386,2397703397637.836,9.999996816467005e-08,-9.999996816467005e-08
Water based,meghalaya,Calorie,1229401099992.745,1229401098763.3442,9.999998201673195e-08,-9.999998201673195e-08
Water based,mizoram,Calorie,244584717994.7251,244584717750.14035,1.0000001198755518e-07,-1.0000001198755518e-07
Water based,nagaland,Calorie,2359349700127.81,2359349697768.4604,9.999999615348203e-08,-9.999999615348203e-08
Water based,odisha,Calorie,23831566400118.6,24805051996534.83,-4.084857789336843,4.084857789336843
Water based,puducherry,Calorie,199916839994.98026,199916839795.06342,9.999999980223233e-08,-9.999999980223233e-08
Water based,punjab,Calorie,106641065000220.44,107001338304498.6,-0.33783730899293957,0.33783730899293957
Water based,rajasthan,Calorie,58038377640853.36,62512313198712.8,-7.708581355503333,7.708581355503333
Water based,sikkim,Calorie,295830420036.19525,295830419740.96045,9.979866242625466e-08,-9.979866242625466e-08
Water based,tamil nadu,Calorie,35465693940852.67,66679991638319.83,-88.0126517460064,88.0126517460064
Water based,telangana,Calorie,32011405769851.38,32011405737839.97,1.0000001370261166e-07,-1.0000001370261166e-07
Water based,tripura,Calorie,2971524979935.489,2971524976963.965,9.999996452480643e-08,-9.999996452480643e-08
Water based,uttar pradesh,Calorie,182473871376611.6,182792611424781.75,-0.17467708980224467,0.17467708980224467
Water based,uttarakhand,Calorie,5952728140056.795,6087188257427.0625,-2.2587982217004905,2.2587982217004905
Water based,west bengal,Calorie,64085227307347.51,64085227243262.3,9.999997445612945e-08,-9.999997445612945e-08
Water based,andaman and nicobar,Phosphorus application,261218.10542916853,261218.10542916853,0.0,-0.0
Water based,andhra pradesh,Phosphorus application,208300028.04122877,171139664.62828577,17.839826409234984,-17.839826409234984
Water based,arunachal pradesh,Phosphorus application,8806524.583171733,8321356.529728824,5.509188657350817,-5.509188657350817
Water based,assam,Phosphorus application,54949714.1263895,63724361.552642815,-15.968504232926122,15.968504232926122
Water based,bihar,Phosphorus application,273505037.01294625,263990439.0346728,3.478765174559868,-3.478765174559868
Water based,chandigarh,Phosphorus application,26636.487009481836,26636.487009430264,1.9361407362380015e-10,-1.9361407362380015e-10
Water based,chhattisgarh,Phosphorus application,190020257.19219786,137337951.23193666,27.724573547427187,-27.724573547427187
Water based,dadra and nagar haveli,Phosphorus application,747418.3523092744,751533.5637383871,-0.5505900967507784,0.5505900967507784
Water based,gujarat,Phosphorus application,138639859.80883405,108711056.89762133,21.587444586629385,-21.587444586629385
Water based,haryana,Phosphorus application,243602654.73493952,234259753.51712018,3.8353035306553647,-3.8353035306553647
Water based,himachal pradesh,Phosphorus application,19290695.43765589,19976834.400272362,-3.5568389166370546,3.5568389166370546
Water based,jammu and kashmir,Phosphorus application,41363895.461826354,38593636.703991085,6.697286913878475,-6.697286913878475
Water based,jharkhand,Phosphorus application,79692127.15346314,102007617.48462237,-28.00212659424474,28.00212659424474
Water based,karnataka,Phosphorus application,294759087.3848274,199029990.13322148,32.47706393072973,-32.47706393072973
Water based,kerala,Phosphorus application,4760873.675116448,4760873.672590524,5.305588734371475e-08,-5.305588734371475e-08
Water based,madhya pradesh,Phosphorus application,405573147.2140838,360018555.53159773,11.232151831403138,-11.232151831403138
Water based,maharashtra,Phosphorus application,368964481.1643221,492196736.2043092,-33.399490013539925,33.399490013539925
Water based,manipur,Phosphorus application,12790700.216117859,11942898.519441478,6.628266493245196,-6.628266493245196
Water based,meghalaya,Phosphorus application,6285628.4132132195,6098620.812147532,2.9751615713167707,-2.9751615713167707
Water based,mizoram,Phosphorus application,2017459.3774865542,1852258.3692950308,8.188566770416887,-8.188566770416887
Water based,nagaland,Phosphorus application,13535208.814019995,13403493.322255012,0.9731323215978025,-0.9731323215978025
Water based,odisha,Phosphorus application,122663894.50072616,144685961.45948783,-17.95317770432545,17.95317770432545
Water based,puducherry,Phosphorus application,920813.6492394836,919951.6497477787,0.09361280563303094,-0.09361280563303094
Water based,punjab,Phosphorus application,303108856.0408317,306248424.9937771,-1.0357892520707086,1.0357892520707086
Water based,rajasthan,Phosphorus application,258601625.5120418,257723490.84313405,0.3395704366393749,-0.3395704366393749
Water based,sikkim,Phosphorus application,2144187.951236441,2127571.126908659,0.7749705112464486,-0.7749705112464486
Water based,tamil nadu,Phosphorus application,146140724.15059048,144703160.21423963,0.983684694807942,-0.983684694807942
Water based,telangana,Phosphorus application,131080018.36693883,104570959.46783543,20.223569716701803,-20.223569716701803
Water based,tripura,Phosphorus application,14445387.205606088,14431286.696545582,0.09761253789745097,-0.09761253789745097
Water based,uttar pradesh,Phosphorus application,935465323.5110295,830724960.1402608,11.196605661196775,-11.196605661196775
Water based,uttarakhand,Phosphorus application,30994133.60039065,30783460.31446165,0.679719874235641,-0.679719874235641
Water based,west bengal,Phosphorus application,267404323.14440745,271285574.6017464,-1.45145426659498,1.45145426659498
Water based,andaman and nicobar,Nitrogen application,693577.7563107929,693577.7563107929,0.0,-0.0
