,target,source,avg_trade_qtl
443,Gujarat,Himachal Pradesh,0.0
444,Himachal Pradesh,Himachal Pradesh,0.0
445,Haryana,Himachal Pradesh,0.0
446,Jharkhand,Himachal Pradesh,0.0
447,Jammu & Kashmir,Himachal Pradesh,0.0
448,Kerala,Himachal Pradesh,0.0
449,Karnataka,Himachal Pradesh,0.0
450,Lakshadeep,Himachal Pradesh,0.0
451,Maharashtra,Himachal Pradesh,0.0
452,Meghalaya,Himachal Pradesh,0.0
453,Manipur,Himachal Pradesh,0.0
454,Madhya Pradesh,Himachal Pradesh,0.0
455,Mizoram,Himachal Pradesh,0.0
456,Nagaland,Himachal Pradesh,0.0
457,Odisha,Himachal Pradesh,0.0
458,Punjab,Himachal Pradesh,0.0
459,Puducherry,Himachal Pradesh,0.0
460,Rajasthan,Himachal Pradesh,0.0
461,Sikkim,Himachal Pradesh,0.0
462,Telangana,Himachal Pradesh,0.0
463,Tamil Nadu,Himachal Pradesh,0.0
464,Tripura,Himachal Pradesh,0.0
465,Uttarakhand,Himachal Pradesh,0.0
466,Uttar Pradesh,Himachal Pradesh,0.0
467,West Bengal,Himachal Pradesh,4371.666666666667
468,Andhra Pradesh,Haryana,533202.0
469,Andaman & Nicobar Islands,Haryana,0.0
470,Arunachal Pradesh,Haryana,0.0
471,Assam,Haryana,415097.0833333333
472,Bihar,Haryana,3439474.5833333335
473,Chattisgarh,Haryana,377005.3333333333
474,Chandigarh,Haryana,97530.83333333333
475,Daman & Diu,Haryana,0.0
476,Delhi,Haryana,1150321.6666666667
477,Dadra & Nagar Haveli,Haryana,0.0
478,Goa,Haryana,50314.166666666664
479,Gujarat,Haryana,3590968.5
480,Himachal Pradesh,Haryana,46217.5
481,Haryana,Haryana,0.0
482,Jharkhand,Haryana,441600.0
483,Jammu & Kashmir,Haryana,81910.83333333333
484,Kerala,Haryana,671872.5833333334
485,Karnataka,Haryana,809999.1666666666
486,Lakshadeep,Haryana,0.0
487,Maharashtra,Haryana,5394517.166666667
488,Meghalaya,Haryana,0.0
489,Manipur,Haryana,0.0
490,Madhya Pradesh,Haryana,343337.6666666667
491,Mizoram,Haryana,0.0
492,Nagaland,Haryana,22041.666666666668
493,Odisha,Haryana,1520701.9166666667
494,Punjab,Haryana,21661.666666666668
495,Puducherry,Haryana,0.0
496,Rajasthan,Haryana,3428324.8333333335
497,Sikkim,Haryana,0.0
498,Telangana,Haryana,8695.0
499,Tamil Nadu,Haryana,851777.75
500,Tripura,Haryana,19125.833333333332
501,Uttarakhand,Haryana,213609.16666666666
502,Uttar Pradesh,Haryana,7950576.666666667
503,West Bengal,Haryana,6734636.0
504,Andhra Pradesh,Jharkhand,0.0
505,Andaman & Nicobar Islands,Jharkhand,0.0
506,Arunachal Pradesh,Jharkhand,0.0
507,Assam,Jharkhand,0.0
508,Bihar,Jharkhand,2169.1666666666665
509,Chattisgarh,Jharkhand,0.0
510,Chandigarh,Jharkhand,0.0
511,Daman & Diu,Jharkhand,0.0
512,Delhi,Jharkhand,0.0
513,Dadra & Nagar Haveli,Jharkhand,0.0
514,Goa,Jharkhand,0.0
515,Gujarat,Jharkhand,0.0
516,Himachal Pradesh,Jharkhand,0.0
517,Haryana,Jharkhand,5674.666666666667
518,Jharkhand,Jharkhand,0.0
519,Jammu & Kashmir,Jharkhand,0.0
520,Kerala,Jharkhand,0.0
521,Karnataka,Jharkhand,0.0
522,Lakshadeep,Jharkhand,0.0
523,Maharashtra,Jharkhand,0.0
524,Meghalaya,Jharkhand,0.0
525,Manipur,Jharkhand,0.0
526,Madhya Pradesh,Jharkhand,0.0
527,Mizoram,Jharkhand,0.0
528,Nagaland,Jharkhand,0.0
529,Odisha,Jharkhand,0.0
530,Punjab,Jharkhand,14934.133333333333
531,Puducherry,Jharkhand,0.0
532,Rajasthan,Jharkhand,0.0
533,Sikkim,Jharkhand,0.0
534,Telangana,Jharkhand,0.0
535,Tamil Nadu,Jharkhand,0.0
536,Tripura,Jharkhand,0.0
537,Uttarakhand,Jharkhand,0.0
538,Uttar Pradesh,Jharkhand,664.25
539,West Bengal,Jharkhand,2215.8333333333335
540,Andhra Pradesh,Jammu & Kashmir,0.0
541,Andaman & Nicobar Islands,Jammu & Kashmir,0.0
542,Arunachal Pradesh,Jammu & Kashmir,0.0
543,Assam,Jammu & Kashmir,0.0
544,Bihar,Jammu & Kashmir,0.0
545,Chattisgarh,Jammu & Kashmir,0.0
546,Chandigarh,Jammu & Kashmir,0.0
547,Daman & Diu,Jammu & Kashmir,0.0
548,Delhi,Jammu & Kashmir,0.0
549,Dadra & Nagar Haveli,Jammu & Kashmir,0.0
550,Goa,Jammu & Kashmir,0.0
551,Gujarat,Jammu & Kashmir,0.0
552,Himachal Pradesh,Jammu & Kashmir,0.0
553,Haryana,Jammu & Kashmir,220.75
554,Jharkhand,Jammu & Kashmir,0.0
555,Jammu & Kashmir,Jammu & Kashmir,0.0
556,Kerala,Jammu & Kashmir,0.0
557,Karnataka,Jammu & Kashmir,0.0
558,Lakshadeep,Jammu & Kashmir,0.0
