,Target,Source,quantity,year
562,Tamil Nadu(excluding ports),Jharkhand,,2010
563,Other ports of Tamil Nadu,Jharkhand,,2010
564,Tripura,Jharkhand,,2010
565,Uttaranchal,Jharkhand,,2010
566,Uttar Pradesh,Jharkhand,,2010
567,West Bengal(excluding ports) ,Jharkhand,,2010
568,Other ports of West Bengal,Jharkhand,,2010
569,T  O  T  A  L,Jharkhand,0,2010
570,Andhra(excluding ports),Karnataka(excluding ports,258544,2010
571,Other ports of Andhra,Karnataka(excluding ports,26320,2010
572,Assam,Karnataka(excluding ports,,2010
573,Arunachal Pradesh,Karnataka(excluding ports,,2010
574,Bihar,Karnataka(excluding ports,114039,2010
575,Chattishgarh,Karnataka(excluding ports,,2010
576,Chandigarh,Karnataka(excluding ports,,2010
577,Delhi,Karnataka(excluding ports,25790,2010
578,Goa,Karnataka(excluding ports,,2010
579,Gujarat(excluding ports),Karnataka(excluding ports,597053,2010
580,Other ports of Gujarat,Karnataka(excluding ports,76350,2010
581,Haryana,Karnataka(excluding ports,110719,2010
582,Himachal Pradesh,Karnataka(excluding ports,,2010
583,Jammu and Kasmir,Karnataka(excluding ports,,2010
584,Jharkhand,Karnataka(excluding ports,,2010
585,Karnataka(excluding ports,Karnataka(excluding ports,,2010
586,Other ports of Karnataka,Karnataka(excluding ports,51420,2010
587,Kerala(excluding ports),Karnataka(excluding ports,,2010
588,Other ports of Kerala,Karnataka(excluding ports,,2010
589,Madhya Pradesh,Karnataka(excluding ports,,2010
590,Maharashtra(excluding ports),Karnataka(excluding ports,444920,2010
591,Other ports of Maharashtra,Karnataka(excluding ports,,2010
592,Manipur,Karnataka(excluding ports,,2010
593,Meghalaya,Karnataka(excluding ports,,2010
594,Mizoram,Karnataka(excluding ports,,2010
595,Nagaland,Karnataka(excluding ports,,2010
596,Orissa,Karnataka(excluding ports,,2010
597,Pondicheri and Karikal,Karnataka(excluding ports,,2010
598,Punjab,Karnataka(excluding ports,715237,2010
599,Rajasthan,Karnataka(excluding ports,,2010
600,Tamil Nadu(excluding ports),Karnataka(excluding ports,2213125,2010
601,Other ports of Tamil Nadu,Karnataka(excluding ports,,2010
