Year,Crop,State,CostofProduction_rs_Quintal
2015,Barley,Uttar Pradesh ,
2015,Ragi,Uttar Pradesh ,
2015,Bajra,Uttar Pradesh ,
2015,Maize,Uttar Pradesh ,
2015,Wheat,Uttar Pradesh ,
2015,Rice,Uttar Pradesh ,
2014,Wheat,Uttarakhand,1277.32
2015,Wheat,Uttarakhand,
2015,Rice,Uttarakhand,
2016,Rice,Uttarakhand,
2016,Wheat,Uttarakhand,
2016,Ragi,Uttarakhand,
2017,Rice,Uttarakhand,1694.63
2017,Wheat,Uttarakhand,1432.22
2017,Ragi,Uttarakhand,4088.38
2012,Wheat,Uttarakhand ,963.45
2012,Ragi ,Uttarakhand ,1861.13
2012,Rice,Uttarakhand ,1239.35
2016,Rice,West Bengal ,
2016,Wheat,West Bengal ,
2017,Rice,West Bengal ,1632.12
2017,Wheat,West Bengal ,1541.29
2012,Wheat,West Bengal ,1372.46
2012,Rice,West Bengal ,1236.05
2014,Wheat,West Bengal ,1585.96
2015,Wheat,West Bengal ,
2015,Rice,West Bengal ,
