source_state,target_state,quantity_kcal,State,original_alt_trade_kcal,trade_alt_needed_clipped,scale_factor,optimized_trade_kcal
delhi,bihar,0.0,delhi,2940405000.0,0.0,0.0,0.0
delhi,chandigarh,0.0,delhi,2940405000.0,0.0,0.0,0.0
delhi,chhattisgarh,0.0,delhi,2940405000.0,0.0,0.0,0.0
delhi,daman and diu,0.0,delhi,2940405000.0,0.0,0.0,0.0
delhi,goa,0.0,delhi,2940405000.0,0.0,0.0,0.0
delhi,gujarat,0.0,delhi,2940405000.0,0.0,0.0,0.0
delhi,haryana,0.0,delhi,2940405000.0,0.0,0.0,0.0
delhi,himachal pradesh,0.0,delhi,2940405000.0,0.0,0.0,0.0
delhi,jammu and kashmir,0.0,delhi,2940405000.0,0.0,0.0,0.0
delhi,jharkhand,0.0,delhi,2940405000.0,0.0,0.0,0.0
delhi,karnataka,0.0,delhi,2940405000.0,0.0,0.0,0.0
delhi,kerala,0.0,delhi,2940405000.0,0.0,0.0,0.0
delhi,madhya pradesh,0.0,delhi,2940405000.0,0.0,0.0,0.0
delhi,maharashtra,2940405000.0,delhi,2940405000.0,0.0,0.0,0.0
delhi,manipur,0.0,delhi,2940405000.0,0.0,0.0,0.0
delhi,meghalaya,0.0,delhi,2940405000.0,0.0,0.0,0.0
delhi,mizoram,0.0,delhi,2940405000.0,0.0,0.0,0.0
delhi,nagaland,0.0,delhi,2940405000.0,0.0,0.0,0.0
delhi,odisha,0.0,delhi,2940405000.0,0.0,0.0,0.0
delhi,puducherry,0.0,delhi,2940405000.0,0.0,0.0,0.0
delhi,punjab,0.0,delhi,2940405000.0,0.0,0.0,0.0
delhi,rajasthan,0.0,delhi,2940405000.0,0.0,0.0,0.0
delhi,tamil nadu,0.0,delhi,2940405000.0,0.0,0.0,0.0
delhi,telangana,0.0,delhi,2940405000.0,0.0,0.0,0.0
delhi,tripura,0.0,delhi,2940405000.0,0.0,0.0,0.0
delhi,uttar pradesh,0.0,delhi,2940405000.0,0.0,0.0,0.0
delhi,uttarakhand,0.0,delhi,2940405000.0,0.0,0.0,0.0
delhi,west bengal,0.0,delhi,2940405000.0,0.0,0.0,0.0
goa,andhra pradesh,0.0,goa,0.0,0.0,0.0,0.0
goa,arunachal pradesh,0.0,goa,0.0,0.0,0.0,0.0
goa,assam,0.0,goa,0.0,0.0,0.0,0.0
goa,bihar,0.0,goa,0.0,0.0,0.0,0.0
goa,chandigarh,0.0,goa,0.0,0.0,0.0,0.0
goa,chhattisgarh,0.0,goa,0.0,0.0,0.0,0.0
goa,daman and diu,0.0,goa,0.0,0.0,0.0,0.0
goa,delhi,0.0,goa,0.0,0.0,0.0,0.0
goa,gujarat,0.0,goa,0.0,0.0,0.0,0.0
goa,haryana,0.0,goa,0.0,0.0,0.0,0.0
goa,himachal pradesh,0.0,goa,0.0,0.0,0.0,0.0
goa,jammu and kashmir,0.0,goa,0.0,0.0,0.0,0.0
goa,jharkhand,0.0,goa,0.0,0.0,0.0,0.0
goa,karnataka,0.0,goa,0.0,0.0,0.0,0.0
goa,kerala,0.0,goa,0.0,0.0,0.0,0.0
goa,madhya pradesh,0.0,goa,0.0,0.0,0.0,0.0
goa,maharashtra,0.0,goa,0.0,0.0,0.0,0.0
goa,manipur,0.0,goa,0.0,0.0,0.0,0.0
goa,meghalaya,0.0,goa,0.0,0.0,0.0,0.0
goa,mizoram,0.0,goa,0.0,0.0,0.0,0.0
goa,nagaland,0.0,goa,0.0,0.0,0.0,0.0
goa,odisha,0.0,goa,0.0,0.0,0.0,0.0
goa,puducherry,0.0,goa,0.0,0.0,0.0,0.0
goa,punjab,0.0,goa,0.0,0.0,0.0,0.0
goa,rajasthan,0.0,goa,0.0,0.0,0.0,0.0
goa,tamil nadu,0.0,goa,0.0,0.0,0.0,0.0
goa,telangana,0.0,goa,0.0,0.0,0.0,0.0
goa,tripura,0.0,goa,0.0,0.0,0.0,0.0
goa,uttar pradesh,0.0,goa,0.0,0.0,0.0,0.0
goa,uttarakhand,0.0,goa,0.0,0.0,0.0,0.0
goa,west bengal,0.0,goa,0.0,0.0,0.0,0.0
gujarat,andhra pradesh,0.0,gujarat,19377852333.333332,3048149444756.963,157.30068494296486,0.0
gujarat,arunachal pradesh,0.0,gujarat,19377852333.333332,3048149444756.963,157.30068494296486,0.0
gujarat,assam,2448680000.0,gujarat,19377852333.333332,3048149444756.963,157.30068494296486,385179041206.1392
gujarat,bihar,0.0,gujarat,19377852333.333332,3048149444756.963,157.30068494296486,0.0
gujarat,chandigarh,0.0,gujarat,19377852333.333332,3048149444756.963,157.30068494296486,0.0
gujarat,chhattisgarh,0.0,gujarat,19377852333.333332,3048149444756.963,157.30068494296486,0.0
gujarat,daman and diu,0.0,gujarat,19377852333.333332,3048149444756.963,157.30068494296486,0.0
gujarat,delhi,0.0,gujarat,19377852333.333332,3048149444756.963,157.30068494296486,0.0
gujarat,goa,0.0,gujarat,19377852333.333332,3048149444756.963,157.30068494296486,0.0
gujarat,haryana,16929172333.333332,gujarat,19377852333.333332,3048149444756.963,157.30068494296486,2662970403550.8237
gujarat,himachal pradesh,0.0,gujarat,19377852333.333332,3048149444756.963,157.30068494296486,0.0
gujarat,jammu and kashmir,0.0,gujarat,19377852333.333332,3048149444756.963,157.30068494296486,0.0
gujarat,jharkhand,0.0,gujarat,19377852333.333332,3048149444756.963,157.30068494296486,0.0
gujarat,karnataka,0.0,gujarat,19377852333.333332,3048149444756.963,157.30068494296486,0.0
gujarat,kerala,0.0,gujarat,19377852333.333332,3048149444756.963,157.30068494296486,0.0
gujarat,madhya pradesh,0.0,gujarat,19377852333.333332,3048149444756.963,157.30068494296486,0.0
gujarat,maharashtra,0.0,gujarat,19377852333.333332,3048149444756.963,157.30068494296486,0.0
gujarat,manipur,0.0,gujarat,19377852333.333332,3048149444756.963,157.30068494296486,0.0
gujarat,meghalaya,0.0,gujarat,19377852333.333332,3048149444756.963,157.30068494296486,0.0
gujarat,mizoram,0.0,gujarat,19377852333.333332,3048149444756.963,157.30068494296486,0.0
gujarat,nagaland,0.0,gujarat,19377852333.333332,3048149444756.963,157.30068494296486,0.0
gujarat,odisha,0.0,gujarat,19377852333.333332,3048149444756.963,157.30068494296486,0.0
gujarat,puducherry,0.0,gujarat,19377852333.333332,3048149444756.963,157.30068494296486,0.0
gujarat,punjab,0.0,gujarat,19377852333.333332,3048149444756.963,157.30068494296486,0.0
gujarat,rajasthan,0.0,gujarat,19377852333.333332,3048149444756.963,157.30068494296486,0.0
gujarat,tamil nadu,0.0,gujarat,19377852333.333332,3048149444756.963,157.30068494296486,0.0
gujarat,telangana,0.0,gujarat,19377852333.333332,3048149444756.963,157.30068494296486,0.0
gujarat,tripura,0.0,gujarat,19377852333.333332,3048149444756.963,157.30068494296486,0.0
gujarat,uttar pradesh,0.0,gujarat,19377852333.333332,3048149444756.963,157.30068494296486,0.0
gujarat,uttarakhand,0.0,gujarat,19377852333.333332,3048149444756.963,157.30068494296486,0.0
gujarat,west bengal,0.0,gujarat,19377852333.333332,3048149444756.963,157.30068494296486,0.0
haryana,andhra pradesh,0.0,haryana,36125846500.0,28991182100.103558,0.8025052672496839,0.0
haryana,arunachal pradesh,0.0,haryana,36125846500.0,28991182100.103558,0.8025052672496839,0.0
haryana,assam,0.0,haryana,36125846500.0,28991182100.103558,0.8025052672496839,0.0
haryana,bihar,0.0,haryana,36125846500.0,28991182100.103558,0.8025052672496839,0.0
haryana,chandigarh,0.0,haryana,36125846500.0,28991182100.103558,0.8025052672496839,0.0
haryana,chhattisgarh,0.0,haryana,36125846500.0,28991182100.103558,0.8025052672496839,0.0
haryana,daman and diu,0.0,haryana,36125846500.0,28991182100.103558,0.8025052672496839,0.0
haryana,delhi,0.0,haryana,36125846500.0,28991182100.103558,0.8025052672496839,0.0
haryana,goa,0.0,haryana,36125846500.0,28991182100.103558,0.8025052672496839,0.0
haryana,gujarat,0.0,haryana,36125846500.0,28991182100.103558,0.8025052672496839,0.0
haryana,himachal pradesh,0.0,haryana,36125846500.0,28991182100.103558,0.8025052672496839,0.0
haryana,jammu and kashmir,0.0,haryana,36125846500.0,28991182100.103558,0.8025052672496839,0.0
haryana,jharkhand,0.0,haryana,36125846500.0,28991182100.103558,0.8025052672496839,0.0
haryana,karnataka,6059570000.0,haryana,36125846500.0,28991182100.103558,0.8025052672496839,4862836842.268167
haryana,kerala,0.0,haryana,36125846500.0,28991182100.103558,0.8025052672496839,0.0
